timestamp,Weight Mean,Difficulty Mean,Reward Mean,Transaction Sum,Witness Sum,Input Sum,Output Sum,Fee Total Sum,Total Blocks,close,volume,marketCap,open
2014-09-11,865364.0470588235,27428630902.258,12056.47642,66026,0,179601,196900,4883.5495,170,479.7489929199,22787800.0,6352285708.38,479.6170043945
2014-09-12,969538.8571428572,27428630902.258,12002.028642857142,68384,0,182908,195316,5124.9130000000005,154,477.7529907227,16852900.0,6359504769.1,479.5820007324
2014-09-13,725398.364640884,27800072129.93698,11931.114651933702,61246,0,159182,179205,4545.7942,181,479.0020141602,15437200.0,6334873397.93,477.7929992676
2014-09-14,1099286.5316455695,29829733124.04,11997.023828481011,67655,0,198458,307488,5375.8079,158,477.891998291,15588000.0,6353614253.55,479.1170043945
2014-09-15,1156009.5443037974,29829733124.04,11987.248906962026,78666,0,229489,222114,5845.7966,158,475.3710021973,13105500.0,6340778581.7,477.7650146484
2014-09-16,1185250.619883041,29829733124.04,11970.803055555554,87234,0,249716,247362,6849.0257,171,466.0570068359,15345200.0,6309195217.65,474.8619995117
2014-09-17,962581.0752688173,29829733124.04,11820.10735215054,80305,0,220582,227493,5785.9774,186,457.3340148926,16797300.0,6187570806.23,465.8640136719
2014-09-18,946811.843575419,29829733124.04,11553.78949888268,77364,0,208697,221458,5690.302000000001,179,424.4400024414,21056800.0,6073910020.75,456.8599853516
2014-09-19,885411.4385964912,29829733124.04,11051.61282397661,69437,0,186961,190782,4679.039699999999,171,394.7959899902,34483200.0,5638918842.0,424.1029968262
2014-09-20,833606.7954545454,29829733124.04,10180.197975,63482,0,180628,189403,4170.8014,176,408.9039916992,37919700.0,5246779620.6,394.6730041504
2014-09-21,871985.0731707317,29829733124.040005,10290.632230487803,59800,0,159698,265820,3834.6791,164,398.8210144043,36863600.0,5436072002.0,408.0849914551
2014-09-22,1041553.2142857144,29829733124.040005,10064.99552440476,73289,0,216833,226209,4703.197899999999,168,402.1520080566,26580100.0,5303651274.83,399.1000061035
2014-09-23,1238303.7333333334,29829733124.040005,10097.699768666667,77283,0,230064,238741,5129.9362,150,435.7909851074,24127600.0,5349637033.8,402.092010498
2014-09-24,1142037.0256410255,29829733124.04,10254.38782948718,74974,0,216386,243783,5052.4753,156,423.2049865723,45099500.0,5798754888.52,435.7510070801
2014-09-25,1134307.7441860463,30419649105.42766,10706.040230813953,78523,0,239012,256255,5639.954599999999,172,411.574005127,30627700.0,5632911450.62,423.1560058594
2014-09-26,1240459.8208955224,34661425923.977,10487.188369402986,72555,0,203869,216112,19790.2912,134,404.424987793,26814400.0,5479902023.0,411.4289855957
